"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample"
1625.7906,"0:27:05",3941.06,28657.84,3829.99,3852.55,14.57,17416.54,505.05,9093.4,"16","hybracter_hybrid","Lerminiaux_isolateA"
2492.2927,"0:41:32",4033.49,27030.08,3906.74,3934.94,14.69,17600.76,350.61,9903.88,"8","hybracter_hybrid","Lerminiaux_isolateA"
1668.4357,"0:27:48",3967.75,17442.89,3855.91,3878.94,2.29,7977.07,650.13,11816.13,"16","hybracter_long","Lerminiaux_isolateA"
2879.2555,"0:47:59",4098.24,27442.45,4056.11,4065.99,3.48,7959.5,402.53,12797.84,"8","hybracter_long","Lerminiaux_isolateA"
4642.9213,"1:17:22",5071.82,13032.7,5069.55,5069.68,681.86,46890.74,1299.22,63038.91,"16","unicycler","Lerminiaux_isolateA"
8556.631,"2:22:36",4221.75,6567.77,4195.57,4198.41,681.86,46872.49,701.82,61695.62,"8","unicycler","Lerminiaux_isolateA"
462.1149,"0:07:42",2953.54,9059.19,2943.68,2944.44,737.66,2572.95,365.96,2197.59,"16","dragonflye_hybrid","Lerminiaux_isolateB"
671.7399,"0:11:11",3810.8,8485.3,3714.31,3731.79,379.44,2788.42,297.12,2432.82,"8","dragonflye_hybrid","Lerminiaux_isolateB"
438.4375,"0:07:18",3030.3,9059.07,2966.58,2967.38,0.03,2526.34,414.03,2530.98,"16","dragonflye_long","Lerminiaux_isolateB"
741.0828,"0:12:21",3295.29,8485.41,3198.43,3216.02,7.71,2524.14,390.9,3033.14,"8","dragonflye_long","Lerminiaux_isolateB"
2236.189,"0:37:16",3702.3,28670.2,3579.3,3607.05,8.08,23192.13,727.73,17560.78,"16","hybracter_hybrid","Lerminiaux_isolateB"
3348.771,"0:55:48",3871.95,27492.55,3745.48,3772.18,8.54,23168.02,471.51,17047.84,"8","hybracter_hybrid","Lerminiaux_isolateB"
2463.226,"0:41:03",3715.37,15157.32,3591.75,3619.56,1.65,8902.52,625.67,16423.03,"16","hybracter_long","Lerminiaux_isolateB"
3584.2825,"0:59:44",4495.89,27170.31,4453.42,4463.79,20.37,8882.95,424.54,16501.87,"8","hybracter_long","Lerminiaux_isolateB"
4637.7012,"1:17:17",6611.57,13803.9,6596.15,6601.17,0,52926.76,1226.62,59746.99,"16","unicycler","Lerminiaux_isolateB"
8393.9594,"2:19:53",4872.69,6827.84,4881.41,4884.67,759.09,54590.82,688.69,59291.21,"8","unicycler","Lerminiaux_isolateB"
274.7034,"0:04:34",1374.74,9011.66,1364.6,1365.4,0,1212.2,244.63,952.78,"16","dragonflye_hybrid","Lerminiaux_isolateC"
370.7792,"0:06:10",2320.71,8437.88,2223.5,2241.36,0,1780.16,206.33,1021.25,"8","dragonflye_hybrid","Lerminiaux_isolateC"
244.6782,"0:04:04",1374.05,8947.64,1364.37,1365.12,0,906.66,275.94,925.7,"16","dragonflye_long","Lerminiaux_isolateC"
298.7986,"0:04:58",2230.68,8373.86,2147.88,2165.51,0,906.64,104.8,688.1,"8","dragonflye_long","Lerminiaux_isolateC"
2154.7666,"0:35:54",3534.46,28380.05,3503.15,3512.78,17.07,20910.36,357.52,8659.09,"16","hybracter_hybrid","Lerminiaux_isolateC"
2797.5575,"0:46:37",3316.31,27413.28,3268.66,3282.73,0.11,20842.5,260.09,7958.28,"8","hybracter_hybrid","Lerminiaux_isolateC"
1459.1532,"0:24:19",3056.25,14379.58,3000.09,3011.77,0.35,3871,611.61,9404.26,"16","hybracter_long","Lerminiaux_isolateC"
1853.8028,"0:30:53",3976.92,11586.86,3934.35,3944.93,0.08,3865.41,436.7,8665.18,"8","hybracter_long","Lerminiaux_isolateC"
3169.4165,"0:52:49",7943.23,14065.56,7928.23,7933.21,447.95,43389.55,737.61,26393.73,"16","unicycler","Lerminiaux_isolateC"
5234.4705,"1:27:14",4685.21,6833.5,4668.09,4671.89,354.85,44952.73,500.07,27816.06,"8","unicycler","Lerminiaux_isolateC"
534.5076,"0:08:54",3952.97,9059.64,3857.15,3874.73,0.01,3562.75,339.22,2642.05,"16","dragonflye_hybrid","Lerminiaux_isolateD"
724.9634,"0:12:04",3995.14,8485.89,3900.16,3917.52,0,3209.41,357.38,2883.01,"8","dragonflye_hybrid","Lerminiaux_isolateD"
508.0369,"0:08:28",3954.52,9059.62,3857.82,3875.42,0,2513.72,356.66,2653.6,"16","dragonflye_long","Lerminiaux_isolateD"
707.1755,"0:11:47",4012.37,8386.14,3917.21,3934.74,0,2528.1,347.76,3005.94,"8","dragonflye_long","Lerminiaux_isolateD"
1809.1204,"0:30:09",3924.74,25808.53,3809.4,3834.88,94.73,20953.32,554.63,11237.3,"16","hybracter_hybrid","Lerminiaux_isolateD"
2754.8474,"0:45:54",3963.24,27479.65,3836.3,3863.12,28.96,21154.42,386.84,12015.49,"8","hybracter_hybrid","Lerminiaux_isolateD"
1939.4495,"0:32:19",4283.73,17927.92,4167.82,4193.31,86.92,7610.71,488.35,10971.91,"16","hybracter_long","Lerminiaux_isolateD"
2588.0236,"0:43:08",3524.43,27535.79,3481.05,3493.39,0.07,7597.27,369.21,10327.43,"8","hybracter_long","Lerminiaux_isolateD"
4611.6985,"1:16:51",7091.89,13803.44,7076.29,7081.42,518.45,57712.03,1262.38,60040.21,"16","unicycler","Lerminiaux_isolateD"
8429.8018,"2:20:29",4722.73,6828.57,4705.57,4709.35,758.11,59434.54,688.89,59490.61,"8","unicycler","Lerminiaux_isolateD"
512.5265,"0:08:32",3520.01,9064.43,3425.45,3442.14,764.31,3323.23,450.84,2875.48,"16","dragonflye_hybrid","Lerminiaux_isolateE"
666.5484,"0:11:06",4198.68,8490.67,4072.95,4091.12,381.88,3324.12,374.94,2783.71,"8","dragonflye_hybrid","Lerminiaux_isolateE"
487.3387,"0:08:07",4238.71,9000.32,4129.63,4146.8,0,2535.75,402.28,2615.13,"16","dragonflye_long","Lerminiaux_isolateE"
661.7834,"0:11:01",4158.73,8490.55,4045.68,4064.81,0.01,2535.34,360.45,2751.79,"8","dragonflye_long","Lerminiaux_isolateE"
1763.1912,"0:29:23",5254.45,26157.82,5924.17,5935.79,22.25,23156.6,490.21,10488.13,"16","hybracter_hybrid","Lerminiaux_isolateE"
2525.0891,"0:42:05",4592.26,7911.5,4442,4474.22,21.47,22917.32,370.53,10784.98,"8","hybracter_hybrid","Lerminiaux_isolateE"
1591.8121,"0:26:31",5124.05,28675.89,5272.39,5283.92,0.05,7836.13,563.13,10934.79,"16","hybracter_long","Lerminiaux_isolateE"
2169.6098,"0:36:09",4116.9,27661.98,3976.28,4003.21,0.04,7785.15,431.61,10576.74,"8","hybracter_long","Lerminiaux_isolateE"
3915.4209,"1:05:15",7327.33,13304.29,7533.46,7533.59,0,41874.36,1282.05,51662.16,"16","unicycler","Lerminiaux_isolateE"
7258.7733,"2:00:58",4828.84,8209.64,4774.78,4778.01,764.31,42215.89,693.8,52022.34,"8","unicycler","Lerminiaux_isolateE"
458.1529,"0:07:38",2399.54,9006.96,2389.65,2390.4,0.02,1396.39,473,2401.39,"16","dragonflye_hybrid","Lerminiaux_isolateF"
691.7343,"0:11:31",3347.41,8433.21,3220.99,3239.6,0,1586.88,309.74,2488.88,"8","dragonflye_hybrid","Lerminiaux_isolateF"
437.8995,"0:07:17",2397.98,9006.96,2387.26,2388.06,0,1397.09,492.62,2590.2,"16","dragonflye_long","Lerminiaux_isolateF"
582.9222,"0:09:42",3167.79,8433.21,3054.3,3072.75,0,1397.91,292.85,1966.36,"8","dragonflye_long","Lerminiaux_isolateF"
2230.4032,"0:37:10",5028.39,27199.38,4969.6,4981.21,66.07,18386.76,859.79,20173.92,"16","hybracter_hybrid","Lerminiaux_isolateF"
3223.2105,"0:53:43",4296.7,26970.15,4238.39,4252.65,74.57,18366.76,518.07,17505.83,"8","hybracter_hybrid","Lerminiaux_isolateF"
2273.3823,"0:37:53",5118.23,28300.85,5044.71,5056.3,1.93,7133.94,910.03,22084.58,"16","hybracter_long","Lerminiaux_isolateF"
3429.438,"0:57:09",4644.28,26763.93,4557.18,4571.21,6.57,7103.48,562.68,20019.44,"8","hybracter_long","Lerminiaux_isolateF"
3159.3498,"0:52:39",6979.97,10982.27,6958.7,6958.83,0,42191.13,1129.62,38393.94,"16","unicycler","Lerminiaux_isolateF"
5474.7143,"1:31:14",4709.33,6567.23,4688.45,4690.53,294.41,42570.27,662.42,37781.92,"8","unicycler","Lerminiaux_isolateF"
