"Wall_Clock_seconds","h.m.s","max_rss","max_vms","max_uss","max_pss","io_in","io_out","mean_load","cpu_time","Threads","Run","Sample","Logic"
184.398,"0:03:04",1323.45,8445.66,1315.9,1316.69,0.01,912.56,88.99,287.61,"8","dragonflye_long","Lerminiaux_isolateC","Last"
1626.9564,"0:27:06",6170.61,13429.6,6142.7,6150.27,0.34,20736.05,234.94,4297.2,"16","hybracter_hybrid","Lerminiaux_isolateC","Last"
1766.7064,"0:29:26",6570.01,13299.64,6461.16,6468.97,2.07,20718.05,200.72,3999.87,"8","hybracter_hybrid","Lerminiaux_isolateC","Last"
1128.5362,"0:18:48",6137.71,16590.95,6109.11,6116.74,0.07,3894.88,405.28,4957.49,"16","hybracter_long","Lerminiaux_isolateC","Last"
1097.0028,"0:18:17",6249.51,13504.78,6221.1,6228.65,0.02,3877.61,345.57,3956.53,"8","hybracter_long","Lerminiaux_isolateC","Last"
2155.9407,"0:35:55",7122.72,13813.43,7106.54,7111.72,0.04,43389.39,463.77,12295.7,"16","unicycler","Lerminiaux_isolateC","Last"
2752.6922,"0:45:52",4601.89,6837.37,4585.21,4590.3,0,44953.13,370.55,11790.01,"8","unicycler","Lerminiaux_isolateC","Last"
348.8506,"0:05:48",1766.25,9003.42,1759.03,1759.61,0,3566.75,201.64,1194.24,"16","dragonflye_hybrid","Lerminiaux_isolateD","Last"
416.3117,"0:06:56",1743.24,8493.66,1735.26,1735.92,0.01,3214.13,211.38,1059.6,"8","dragonflye_hybrid","Lerminiaux_isolateD","Last"
328.3333,"0:05:28",1766.09,9003.4,1759.5,1760.15,0,2518.21,215.4,1203.08,"16","dragonflye_long","Lerminiaux_isolateD","Last"
394.7358,"0:06:34",1743.69,8493.68,1735.48,1736.15,0,2518.46,223.23,1052.18,"8","dragonflye_long","Lerminiaux_isolateD","Last"
1150.2445,"0:19:10",6448.52,17844.84,6318.99,6326.7,1.58,20499.38,382.3,5136.21,"16","hybracter_hybrid","Lerminiaux_isolateD","Last"
1378.9461,"0:22:58",6800.39,14306.88,6612.9,6620.48,3.37,20905.5,270.33,4403.83,"8","hybracter_hybrid","Lerminiaux_isolateD","Last"
1108.1679,"0:18:28",8033.91,15748.02,7820.66,7828.3,0.25,7615.01,372.96,4935.58,"16","hybracter_long","Lerminiaux_isolateD","Last"
1283.7259,"0:21:23",7671.75,22527.14,7520.85,7528.45,0.22,7610.5,265.71,4275.83,"8","hybracter_long","Lerminiaux_isolateD","Last"
2287.8312,"0:38:07",4586.96,12014.31,4579.05,4579.23,0,57711.64,1018.23,25045.29,"16","unicycler","Lerminiaux_isolateD","Last"
3537.3558,"0:58:57",4725.3,6831.24,4708.34,4713.5,0,59434.71,614.87,22617.61,"8","unicycler","Lerminiaux_isolateD","Last"
330.1142,"0:05:30",2014.36,9008.11,2004.23,2005.06,0,3331.68,245.35,1180.41,"16","dragonflye_hybrid","Lerminiaux_isolateE","Last"
399.5854,"0:06:39",2052.38,8498.32,2044.55,2045.1,0.23,2747.43,245.85,1126.9,"8","dragonflye_hybrid","Lerminiaux_isolateE","Last"
301.2349,"0:05:01",1901.36,9008.1,1891.1,1891.9,0,2539.11,269.77,1223.23,"16","dragonflye_long","Lerminiaux_isolateE","Last"
372.1769,"0:06:12",1768.56,8498.33,1760.7,1761.33,0,2538.92,264,1110.27,"8","dragonflye_long","Lerminiaux_isolateE","Last"
1155.4579,"0:19:15",8143.62,16317.75,7951.95,7959.56,0.18,22645.3,370.14,5202.99,"16","hybracter_hybrid","Lerminiaux_isolateE","Last"
1351.5791,"0:22:31",6300.98,12587.4,6272.72,6280.29,1.65,22847.63,257.64,4316.04,"8","hybracter_hybrid","Lerminiaux_isolateE","Last"
1060.8881,"0:17:40",8515.86,16373.03,8422.14,8429.82,0.18,7908.24,408.59,4914.08,"16","hybracter_long","Lerminiaux_isolateE","Last"
1268.0607,"0:21:08",6673.96,12170.23,6645.81,6653.48,0.46,7929.29,281.19,4066.82,"8","hybracter_long","Lerminiaux_isolateE","Last"
1866.3612,"0:31:06",7125.77,13565.15,7056.05,7056.22,0.02,41874.03,1065.32,21155.72,"16","unicycler","Lerminiaux_isolateE","Last"
2920.9828,"0:48:40",5839.26,8791.18,5809.56,5809.71,0.02,42215.22,617,19057.45,"8","unicycler","Lerminiaux_isolateE","Last"
293.7889,"0:04:53",1837.54,8950.79,1830.83,1831.52,0,1897.94,194.15,831.5,"16","dragonflye_hybrid","Lerminiaux_isolateF","Last"
359.8755,"0:05:59",2018.86,8440.97,2011.91,2012.63,13.28,1579.48,136.49,706.16,"8","dragonflye_hybrid","Lerminiaux_isolateF","Last"
285.8999,"0:04:45",1538.01,8950.75,1532.09,1532.78,0.06,1416.04,195.15,767.24,"16","dragonflye_long","Lerminiaux_isolateF","Last"
342.3876,"0:05:42",2064.28,8440.98,2056.37,2057.06,0,1402.15,143.37,706.45,"8","dragonflye_long","Lerminiaux_isolateF","Last"
1313.4664,"0:21:53",6810.6,14316.11,6728.98,6736.64,0.44,18380.1,659.21,9159.36,"16","hybracter_hybrid","Lerminiaux_isolateF","Last"
1720.1689,"0:28:40",6913.62,13030.11,6712.03,6719.59,11.17,17797.39,441.85,7946.23,"8","hybracter_hybrid","Lerminiaux_isolateF","Last"
1417.674,"0:23:37",6875.49,14884.88,6679.14,6686.43,0.77,6962.11,659,9819.36,"16","hybracter_long","Lerminiaux_isolateF","Last"
1742.4076,"0:29:02",6448.11,13890.91,6262.86,6270.29,0.77,6991.6,458.77,8460.81,"8","hybracter_long","Lerminiaux_isolateF","Last"
1640.2487,"0:27:20",5930.21,10986.15,5900.08,5900.24,0,42191.08,901.03,16561.34,"16","unicycler","Lerminiaux_isolateF","Last"
2479.1213,"0:41:19",4265.02,5664.48,4250.68,4250.85,0.01,42569.59,537.24,14854.56,"8","unicycler","Lerminiaux_isolateF","Last"
361.0039,"0:06:01",2088.04,9002.71,2072.08,2073.42,0,3228.52,201.24,1222.11,"16","dragonflye_hybrid","Lerminiaux_isolateG","Last"
423.194,"0:07:03",1741.28,8492.92,1733.26,1733.9,0.02,3229.64,243.25,1221.93,"8","dragonflye_hybrid","Lerminiaux_isolateG","Last"
333.5874,"0:05:33",2449.93,9002.69,2433.29,2434.75,0,2526.45,218.96,1235.56,"16","dragonflye_long","Lerminiaux_isolateG","Last"
393.6551,"0:06:33",1741.32,8492.91,1733.39,1734.06,0,2527.93,261.69,1196.37,"8","dragonflye_long","Lerminiaux_isolateG","Last"
1416.7706,"0:23:36",7232.47,17747.12,7001,7008.87,0.2,31134.56,347.62,5892.68,"16","hybracter_hybrid","Lerminiaux_isolateG","Last"
1689.0981,"0:28:09",8141.29,14204.05,7981.72,7989.39,2.27,31117.98,246.35,4966.35,"8","hybracter_hybrid","Lerminiaux_isolateG","Last"
1332.6086,"0:22:12",6395.61,15294.14,6224.55,6232.14,0.14,8811.21,403.97,6278.75,"16","hybracter_long","Lerminiaux_isolateG","Last"
1565.3326,"0:26:05",6484.68,12920.7,6456.18,6463.74,0.23,8821.09,300.53,5572.82,"8","hybracter_long","Lerminiaux_isolateG","Last"
2755.1845,"0:45:55",9326.23,14068.9,9310.82,9316.04,0.09,69086.7,827.04,26440.44,"16","unicycler","Lerminiaux_isolateG","Last"
4047.7133,"1:07:27",4649.92,6836.84,4633.54,4638.55,0.02,73032.14,549.36,23528.48,"8","unicycler","Lerminiaux_isolateG","Last"
274.9217,"0:04:34",1713.93,9004.6,1707.59,1708.23,0.03,2779.73,97.23,472.51,"16","dragonflye_hybrid","Lerminiaux_isolateH","Last"
333.8202,"0:05:33",1722.72,8494.82,1715.46,1716.13,0.01,2969.82,186.94,932.28,"8","dragonflye_hybrid","Lerminiaux_isolateH","Last"
251.8963,"0:04:11",1711.7,9068.58,1704.99,1705.64,0,2475.88,107.66,482.97,"16","dragonflye_long","Lerminiaux_isolateH","Last"
308.0687,"0:05:08",1722.82,8494.82,1715.82,1716.45,0,2474.7,202.47,884.68,"8","dragonflye_long","Lerminiaux_isolateH","Last"
1045.9031,"0:17:25",7855.14,15754.86,7715.1,7722.68,2.08,24988.52,305.7,3849.2,"16","hybracter_hybrid","Lerminiaux_isolateH","Last"
1219.8587,"0:20:19",6919.86,22638.45,6710.37,6717.98,25.32,25013.91,230.67,3759.75,"8","hybracter_hybrid","Lerminiaux_isolateH","Last"
1005.837,"0:16:45",8406.75,59300.42,8246.93,8254.43,0.51,8341.81,299.71,3501.33,"16","hybracter_long","Lerminiaux_isolateH","Last"
1187.5707,"0:19:47",6501.65,12462.02,6408,6415.64,2.17,8547.26,255.52,3968.54,"8","hybracter_long","Lerminiaux_isolateH","Last"
2221.2657,"0:37:01",9266.77,14068.72,9251.18,9256.28,0.08,56713.88,933.13,23216.44,"16","unicycler","Lerminiaux_isolateH","Last"
3374.0149,"0:56:14",4537.45,6836.79,4520.44,4525.6,0,58344.3,570.31,20942.66,"8","unicycler","Lerminiaux_isolateH","Last"
359.3198,"0:05:59",1913.07,9010.41,1903.17,1903.97,0.02,2788.13,179.73,1067.73,"16","dragonflye_hybrid","Lerminiaux_isolateI","Last"
446.6412,"0:07:26",1756.29,8500.64,1748.55,1749.2,0.07,3255.58,228.15,1250.92,"8","dragonflye_hybrid","Lerminiaux_isolateI","Last"
337.2202,"0:05:37",1956.93,9010.39,1947,1947.77,0,2533.55,193.3,1043.09,"16","dragonflye_long","Lerminiaux_isolateI","Last"
